libtype,libtype2,libtype3
624,6,6,2225
625,6,6,2229
626,6,6,2230
627,6,6,2231
628,6,6,2232
629,6,6,2233
630,6,6,2234
631,6,6,2237
632,6,6,2239
633,6,6,2240
634,6,6,2241
635,6,6,2244
636,6,6,2247
637,6,6,2253
638,6,6,2255
639,6,6,2259
640,6,6,2261
641,6,6,2263
642,6,6,2266
643,6,6,2271
644,6,6,2272
645,6,6,2274
646,6,6,2277
647,6,6,2281
648,6,6,2282
649,6,6,2284
650,6,6,2286
651,6,6,2287
652,6,6,2288
653,6,6,2290
654,6,6,2291
655,6,6,2293
656,6,6,2294
657,6,6,2295
658,6,6,2297
659,6,6,2298
660,6,6,2300
661,6,6,2302
662,6,6,2303
663,6,6,2305
664,6,6,2306
665,6,6,2308
666,6,6,2309
667,6,6,2312
668,6,6,2313
669,6,6,2315
670,6,6,2318
671,6,6,2319
672,6,6,2322
673,6,6,2324
674,6,6,2326
675,6,6,2328
676,6,6,2329
677,6,6,2336
678,6,6,2338
679,6,6,2340
680,6,6,2342
681,6,6,2343
682,6,6,2347
683,6,6,2350
684,6,6,2352
685,6,6,2354
686,6,6,2356
687,6,6,2357
688,6,6,2362
689,6,6,2365
690,6,6,2367
691,6,6,2368
692,6,6,2369
693,6,6,2370
694,6,6,2374
695,6,6,2375
696,6,6,2382
697,6,6,2383
698,6,6,2384
699,6,6,2386
700,6,6,2388
701,6,6,2389
702,6,6,2390
703,6,6,2392
704,6,6,2394
705,6,6,2395
706,6,6,2397
707,6,6,2398
708,6,6,2402
709,6,6,2404
710,6,6,2407
711,6,6,2408
712,6,6,2409
713,6,6,2410
714,6,6,2412
715,6,6,2414
716,6,6,2415
717,6,6,2418
718,6,6,2421
719,6,6,2423
720,6,6,2424
721,6,6,2427
722,6,6,2428
723,6,6,2432
724,6,6,2435
725,6,6,2436
726,6,6,2438
727,6,6,2440
728,6,6,2441
729,6,6,2442
730,6,6,2444
731,6,6,2447
732,6,6,2451
733,6,6,2453
734,6,6,2454
735,6,6,2457
736,6,6,2459
737,6,6,2460
738,6,6,2462
739,6,6,2466
740,6,6,2468
741,6,6,2470
742,6,6,2472
743,6,6,2473
744,6,6,2476
745,6,6,2478
746,6,6,2479
747,6,6,2482
748,6,6,2485
749,6,6,2486
750,6,6,2487
751,6,6,2489
752,6,6,2490
753,6,6,2492
754,6,6,2493
755,6,6,2496
756,6,6,2501
757,6,6,2502
758,6,6,2503
759,6,6,2507
760,6,6,2509
761,6,6,2511
762,6,6,2512
763,6,6,2513
764,6,6,2514
765,6,6,2516
766,6,6,2518
767,6,6,2520
768,6,6,2521
769,6,6,2523
770,6,6,2526
771,6,6,2527
772,6,6,2528
773,6,6,2530
774,6,6,2531
775,6,6,2532
776,6,6,2534
777,6,6,2537
778,6,6,2543
779,6,6,2545
780,6,6,2548
781,6,6,2549
782,6,6,2550
783,6,6,2551
784,6,6,2557
785,6,6,2561
786,6,6,2562
787,6,6,2565
788,6,6,2566
789,6,6,2570
790,6,6,2571
791,6,6,2575
792,6,6,2576
793,6,6,2578
794,6,6,2579
795,6,6,2580
796,6,6,2581
797,6,6,2584
798,6,6,2585
799,6,6,2587
800,6,6,2591
801,6,6,2592
802,6,6,2598
803,6,6,2600
804,6,6,2602
805,6,6,2603
806,6,6,2605
807,6,6,2606
808,6,6,2607
809,6,6,2608
810,6,6,2612
811,6,6,2613
812,6,6,2614
813,6,6,2615
814,6,6,2617
815,6,6,2618
816,6,6,2619
817,6,6,2628
818,6,6,2630
819,6,6,2632
820,6,6,2636
821,6,6,2637
822,6,6,2640
823,6,6,2642
824,6,6,2646
825,6,6,2647
826,6,6,2650
827,6,6,2652
828,6,6,2654
829,6,6,2655
830,6,6,2656
831,6,6,2657
832,6,6,2659
833,6,6,2663
834,6,6,2664
835,6,6,2666
836,6,6,2667
837,6,6,2672
838,6,6,2674
839,6,6,2676
840,6,6,2681
841,6,6,2682
842,6,6,2684
843,6,6,2687
844,6,6,2691
845,6,6,2692
846,6,6,2693
847,6,6,2694
848,6,6,2696
849,6,6,2697
850,6,6,2698
851,6,6,2699
852,6,6,2700
853,6,6,2703
854,6,6,2704
855,6,6,2706
856,6,6,2708
857,6,6,2709
858,6,6,2713
859,6,6,2714
860,6,6,2715
861,6,6,2716
862,6,6,2719
863,6,6,2722
864,6,6,2723
865,6,6,2724
866,7,7,2726
867,7,7,2731
868,7,7,2734
869,7,7,2739
870,7,7,2748
871,7,7,2750
872,7,7,2754
873,7,7,2756
874,7,7,2762
875,7,7,2764
876,7,7,2765
877,7,7,2766
878,7,7,2767
879,7,7,2768
880,7,7,2769
881,7,7,2772
882,7,7,2776
883,7,7,2780
884,7,7,2783
885,7,7,2785
886,7,7,2790
887,7,7,2793
888,7,7,2799
889,7,7,2807
890,7,7,2808
891,7,7,2812
892,7,7,2813
893,7,7,2822
894,7,7,2826
895,7,7,2832
896,7,7,2835
897,7,7,2844
898,7,7,2849
899,7,7,2850
900,7,7,2851
901,7,7,2859
902,7,7,2860
903,7,7,2861
904,7,7,2864
905,7,7,2868
906,7,7,2869
907,7,7,2872
908,7,7,2883
909,7,7,2887
910,7,7,2891
911,7,7,2892
912,7,7,2893
913,7,7,2894
914,7,7,2895
915,7,7,2910
916,7,7,2911
917,7,7,2912
918,7,7,2914
919,7,7,2915
920,7,7,2917
921,7,7,2918
922,7,7,2920
923,7,7,2921
924,7,7,2923
925,7,7,2926
926,7,7,2932
927,7,7,2940
928,7,7,2942
929,7,7,2948
930,7,7,2951
931,7,7,2953
932,7,7,2959
933,7,7,2961
934,7,7,2964
935,7,7,2965
936,7,7,2968
937,7,7,2969
938,7,7,2970
939,7,7,2974
940,7,7,2978
941,7,7,2979
942,7,7,2982
943,7,7,2986
944,7,7,2995
945,7,7,3002
946,7,7,3009
947,7,7,3013
948,7,7,3018
949,7,7,3019
950,7,7,3028
951,7,7,3029
952,7,7,3033
953,7,7,3040
954,7,7,3042
955,7,7,3044
956,7,7,3045
957,7,7,3046
958,7,7,3050
959,7,7,3054
960,7,7,3058
961,7,7,3061
962,7,7,3062
963,7,7,3071
964,7,7,3072
965,7,7,3073
966,7,7,3079
967,7,7,3081
968,7,7,3084
969,7,7,3095
970,7,7,3096
971,7,7,3104
972,7,7,3105
973,7,7,3107
974,8,8,3109
975,8,8,3110
976,8,8,3111
977,8,8,3112
978,8,8,3113
979,8,8,3115
980,8,8,3116
981,8,8,3118
982,8,8,3119
983,8,8,3124
984,8,8,3127
985,8,8,3128
986,8,8,3129
987,8,8,3130
988,8,8,3131
989,8,8,3132
990,8,8,3134
991,8,8,3136
992,8,8,3138
993,8,8,3142
994,8,8,3143
995,8,8,3145
996,8,8,3146
997,8,8,3147
998,8,8,3149
999,8,8,3150
1000,8,8,3151
1001,8,8,3154
1002,8,8,3155
1003,8,8,3156
1004,8,8,3157
1005,8,8,3158
1006,8,8,3159
1007,8,8,3161
1008,8,8,3164
1009,8,8,3167
1010,8,8,3169
1011,8,8,3170
1012,8,8,3171
1013,8,8,3172
1014,8,8,3173
1015,8,8,3174
1016,8,8,3175
1017,8,8,3178
1018,8,8,3179
1019,8,8,3180
1020,8,8,3181
1021,8,8,3182
1022,8,8,3183
1023,8,8,3185
1024,8,8,3187
1025,8,8,3188
1026,8,8,3189
1027,8,8,3190
1028,8,8,3191
1029,8,8,3194
1030,8,8,3195
1031,8,8,3196
1032,8,8,3199
1033,8,8,3201
1034,8,8,3202
